disbursement_id,authorization_id,beneficiary_id,pillar_id,period,date,amount_paid,channel,disbursing_account,processed_by
DISB-000263,AUTH-000275,BEN-0024,Plus,2026-06,2026-03-01,7116,bank,249.854.5089x2038,PAY-003
DISB-001978,AUTH-002078,BEN-0182,Plus,2025-01,2025-02-02,8104,mobile_money,+1-284-207-6789x973,PAY-002
DISB-001031,AUTH-001093,BEN-0095,Tech,2025-10,2025-11-07,10256,bank,692.805.3021,PAY-001
DISB-000430,AUTH-000455,BEN-0041,Plus,2026-06,2026-07-05,7985,bank,(282)774-2257,PAY-004
DISB-002021,AUTH-002125,BEN-0186,Vocational,2026-05,2026-06-15,9864,mobile_money,+1-884-966-8455x04892,PAY-002
DISB-001526,AUTH-001605,BEN-0139,Vocational,2025-12,2025-12-19," KES 10,141 ",bank,001-654-421-4066x504,PAY-003
DISB-000906,AUTH-000960,BEN-0084,Scholarship,2026-02,2026-03-07,13768,bank,891-647-6607x2832,PAY-004
DISB-001488,AUTH-001567,BEN-0136,Vocational,2025-01,2025-01-13,10100,bank,(880)851-2927,PAY-003
DISB-000598,AUTH-000636,BEN-0056,Plus,2026-06,2026-06-12,7848,bank,7397652239,PAY-001
DISB-000660,AUTH-000708,BEN-0063,Tech,2025-03,2025-04-02,12095,bank,202.946.2996x0653,PAY-004
DISB-002151,AUTH-002259,BEN-0199,Tech,2025-09,2025-09-25,11877,mobile_money,+1-908-804-6619x63990,PAY-001
DISB-000848,AUTH-000897,BEN-0078,Plus,2025-12,2025-12-29,8052,mobile_money,001-783-333-9452x288,PAY-002
DISB-000988,AUTH-001047,BEN-0091,Tech,2025-09,2025-10-15,11922,bank,001-329-584-2579,PAY-002
DISB-000248,AUTH-000259,BEN-0022,Scholarship,2026-04,2026-05-06,13607,mobile_money,+1-293-280-2620x6724,PAY-002
DISB-001188,AUTH-001252,BEN-0110,Vocational,2026-02,2026-02-13,10111,bank,001-365-309-4801x4138,PAY-001
DISB-002101,AUTH-002205,BEN-0193,Tech,2025-01,,12163,bank,4636048913,PAY-002
DISB-000552,AUTH-000590,BEN-0052,Vocational,2025-08,2025-08-20,10142,mobile_money,356-455-7431x329,PAY-001
DISB-001187,AUTH-001251,BEN-0110,Vocational,2025-02,2025-03-12,10160,bank,001-365-309-4801x4138,PAY-002
DISB-001329,AUTH-001402,BEN-0123,Tech,2025-12,2025-12-25,12008,bank,(622)749-9982x79501,PAY-001
DISB-000635,AUTH-000680,BEN-0060,Plus,2026-06,2026-06-30,8067,bank,001-687-920-5061,PAY-002
DISB-000267,AUTH-000279,BEN-0025,Plus,2025-02,2025-02-28,7842,mobile_money,971.239.7187x07286,PAY-004
DISB-000731,AUTH-000779,BEN-0069,Tech,2026-02,2026-02-12,11918,mobile_money,352.450.0743x2927,PAY-003
DISB-002017,AUTH-002121,BEN-0185,Tech,2025-06,2026-03-23,12233,mobile_money,249.854.5089x2038,PAY-002
DISB-001422,AUTH-001498,BEN-0131,Tech,2025-12,2026-01-13,12173,bank,296-457-0132,PAY-003
DISB-000234,AUTH-000244,BEN-0020,Plus,2025-10,2025-11-17,8024,bank,638.957.8652x78585,PAY-002
DISB-001359,AUTH-001432,BEN-0126,Vocational,2026-04,2026-03-29,8469,bank,249.854.5089x2038,PAY-004
DISB-002011,AUTH-002114,BEN-0184,Tech,2025-11,2025-12-02,11778,mobile_money,001-308-242-8910x77119,PAY-004
DISB-000969,AUTH-001028,BEN-0090,Vocational,2025-05,2025-06-19,9987,bank,477.439.2603x0299,PAY-004
DISB-000441,AUTH-000466,BEN-0041,Plus,2025-01,2025-02-06,8127,bank,(282)774-2257,PAY-001
DISB-001220,AUTH-001285,BEN-0113,Scholarship,2025-01,2025-02-03," KES 15,057 ",mobile_money,(610)255-6613x9060,PAY-004
DISB-001154,AUTH-001218,BEN-0106,Scholarship,2026-03,2026-03-29,14701,mobile_money,(901)836-7303x7183,PAY-003
DISB-000341,AUTH-000359,BEN-0031,Vocational,2026-05,2026-05-28,9997,mobile_money,912.903.8750,PAY-004
DISB-000166,AUTH-000173,BEN-0014,Scholarship,2025-07,2026-04-11," KES 12,057 ",bank,249.854.5089x2038,PAY-003
DISB-000276,AUTH-000288,BEN-0025,Plus,2026-06,2026-06-20,8128,bank,971.239.7187x07286,PAY-002
DISB-000891,AUTH-000942,BEN-0082,Vocational,2025-10,2026-04-01,8794,mobile_money,249.854.5089x2038,PAY-003
DISB-001561,AUTH-001640,BEN-0143,Scholarship,2025-10,2025-11-05,15162,bank,(225)982-7390x21962,PAY-001
DISB-001277,AUTH-001345,BEN-0119,Scholarship,2025-07,2025-08-20,14831,mobile_money,(417)428-9752x677,PAY-003
DISB-000713,AUTH-000761,BEN-0067,Scholarship,2025-10,14/10/2025,14980,bank,6994353875,PAY-004
DISB-001738,AUTH-001820,BEN-0158,Scholarship,2025-03,02/03/2026,11351,mobile_money,249.854.5089x2038,PAY-001
DISB-000985,AUTH-001044,BEN-0091,Tech,2025-08,2025-08-31,11929,mobile_money,001-329-584-2579,PAY-002
DISB-001766,AUTH-001851,BEN-0161,Scholarship,2026-05,2026-05-22,16995,bank,(813)967-4994x6579,PAY-001
DISB-001395,AUTH-001470,BEN-0129,Tech,2026-04,2026-04-09,11953,bank,817.447.7332x945,PAY-001
DISB-000561,AUTH-000599,BEN-0053,Plus,2025-06,2025-07-02,7217,mobile_money,4673883171,PAY-002
DISB-001479,AUTH-001556,BEN-0136,Vocational,2025-06,2025-06-19,10025,bank,(880)851-2927,PAY-002
DISB-001921,AUTH-002016,BEN-0176,Scholarship,2025-07,,15191,mobile_money,(487)477-1215x134,PAY-001
DISB-001026,AUTH-001088,BEN-0095,Tech,2025-06,2025-07-04,12193,mobile_money,692.805.3021,PAY-001
DISB-001622,AUTH-001702,BEN-0148,Plus,2026-04,2026-04-12,7854,mobile_money,907-942-7990,PAY-004
DISB-001816,AUTH-001903,BEN-0166,Plus,2025-10,2025-11-05,7851,bank,001-273-574-8969,PAY-002
DISB-000143,AUTH-000148,BEN-0012,Plus,2026-04,2026-05-04,7956,mobile_money,001-220-429-7021x3556,PAY-003
DISB-001582,AUTH-001662,BEN-0144,Scholarship,2025-06,2025-07-11,14828,bank,556-908-3318x1958,PAY-004
DISB-000264,AUTH-000276,BEN-0024,Plus,2025-02,2026-03-08,6709,mobile_money,249.854.5089x2038,PAY-002
DISB-000751,AUTH-000799,BEN-0070,Scholarship,2025-04,2025-04-22,13080,bank,001-742-810-4478,PAY-004
DISB-001404,AUTH-001479,BEN-0129,Tech,2025-10,2025-11-04,11793,bank,817.447.7332x945,PAY-001
DISB-000603,AUTH-000643,BEN-0057,Tech,2026-06,2026-06-21,11965,bank,325-700-2921x85156,PAY-004
DISB-000099,AUTH-000100,BEN-0008,Plus,2026-05,2026-05-28,7935,mobile_money,826.313.7506x06853,PAY-001
DISB-001002,AUTH-001061,BEN-0093,Tech,2025-05,2026-04-15,11938,bank,249.854.5089x2038,PAY-001
DISB-000696,AUTH-000744,BEN-0066,Vocational,2025-10,2025-11-21,9927,mobile_money,743.674.8969x108,PAY-001
DISB-001118,AUTH-001180,BEN-0103,Plus,2025-11,2025-11-23,7876,bank,672-928-2005x5778,PAY-004
DISB-002163,AUTH-002271,BEN-0200,Vocational,2025-10,2025-10-30,9867,mobile_money,623.420.0249x685,PAY-003
DISB-001181,AUTH-001245,BEN-0110,Vocational,2025-10,2025-10-18,10092,mobile_money,001-365-309-4801x4138,PAY-001
DISB-001400,AUTH-001475,BEN-0129,Tech,2025-02,2025-02-20,11965,bank,817.447.7332x945,PAY-004
DISB-001341,AUTH-001414,BEN-0124,Scholarship,2025-01,2025-01-19,14730,mobile_money,001-995-429-9787,PAY-001
DISB-000437,AUTH-000462,BEN-0041,Plus,2025-06,2025-06-17,8111,mobile_money,(282)774-2257,PAY-002
DISB-000036,AUTH-000037,BEN-0004,Plus,2025-12,2025-12-17,8020,mobile_money,001-205-781-4770,PAY-004
DISB-000881,AUTH-000932,BEN-0081,Plus,2025-05,2025-06-11,8148,bank,(381)782-6886,PAY-002
DISB-001415,AUTH-001491,BEN-0131,Tech,2025-04,2025-04-28,12101,mobile_money,296-457-0132,PAY-003
DISB-002000,AUTH-002103,BEN-0184,Tech,2026-03,2026-04-19,12025,bank,001-308-242-8910x77119,PAY-003
DISB-000338,AUTH-000356,BEN-0031,Vocational,2025-02,2025-02-21,9913,bank,912.903.8750,PAY-001
DISB-000724,AUTH-000772,BEN-0068,Tech,2026-02,2026-02-25,11794,bank,346.955.4947,PAY-002
DISB-001059,AUTH-001121,BEN-0097,Scholarship,2026-04,2026-05-04,15256,bank,723-473-3343x333,PAY-004
DISB-000024,AUTH-000025,BEN-0002,Scholarship,2026-01,2026-01-29,14703,bank,988.351.6060,PAY-002
DISB-001145,AUTH-001209,BEN-0106,Scholarship,2025-01,2025-01-28,14744,mobile_money,(901)836-7303x7183,PAY-001
DISB-001887,AUTH-001982,BEN-0174,Plus,2025-02,2025-02-27,8117,mobile_money,+1-736-269-4118x00537,PAY-001
DISB-000585,AUTH-000623,BEN-0056,Plus,2025-05,12/05/2025,8123,bank,7397652239,PAY-003
DISB-001087,AUTH-001149,BEN-0100,Plus,2026-05,2026-05-30,7624,mobile_money,620-734-7175,PAY-003
DISB-001230,AUTH-001295,BEN-0114,Scholarship,2025-12,2026-01-03,10791,bank,516-586-2278x376,PAY-003
DISB-000842,AUTH-000891,BEN-0077,Scholarship,2025-02,2025-02-21,15233,mobile_money,498.427.0808x697,PAY-004
DISB-000330,AUTH-000347,BEN-0030,Scholarship,2025-06,2025-06-24,15135,mobile_money,(504)789-9642,PAY-002
DISB-000085,AUTH-000086,BEN-0007,Vocational,2025-05,2025-05-22,10090,bank,+1-937-994-7383x47359,PAY-002
DISB-001940,AUTH-002035,BEN-0177,Scholarship,2026-05,2026-06-09,15020,bank,(701)277-7490,PAY-001
DISB-000739,AUTH-000787,BEN-0070,Scholarship,2026-05,2026-05-29,15053,bank,001-742-810-4478,PAY-001
DISB-002032,AUTH-002136,BEN-0187,Tech,2026-05,2026-06-05,12072,bank,688-548-5200,PAY-001
DISB-001251,AUTH-001317,BEN-0116,Plus,2025-08,2025-08-18,8132,mobile_money,+1-301-764-5104x6368,PAY-004
DISB-002126,AUTH-002232,BEN-0196,Vocational,2025-11,2025-12-11,9920,mobile_money,+1-543-837-5047x930,PAY-004
DISB-001689,AUTH-001771,BEN-0154,Plus,2025-06,2025-06-25,7919,bank,(854)878-1376x742,PAY-003
DISB-000523,AUTH-000561,BEN-0050,Scholarship,2025-05,2025-05-12,14915,bank,265.441.9518,PAY-002
DISB-002124,AUTH-002230,BEN-0196,Vocational,2025-04,,10119,mobile_money,+1-543-837-5047x930,PAY-002
DISB-000326,AUTH-000343,BEN-0030,Scholarship,2025-10,2025-10-28,14901,mobile_money,(504)789-9642,PAY-001
DISB-001862,AUTH-001957,BEN-0171,Plus,2025-01,2025-02-06,8026,bank,(406)534-5911,PAY-001
DISB-000147,AUTH-000152,BEN-0012,Plus,2026-03,2026-03-06,8068,bank,001-220-429-7021x3556,PAY-002
DISB-000510,AUTH-000548,BEN-0049,Scholarship,2025-11,2025-11-19,15028,bank,001-710-256-4814x9177,PAY-004
DISB-000157,AUTH-000162,BEN-0013,Tech,2025-12,2026-01-09,9959,mobile_money,712.317.2715,PAY-003
DISB-001835,AUTH-001929,BEN-0168,Scholarship,2025-01,2026-03-10,13005,bank,249.854.5089x2038,PAY-004
DISB-001266,AUTH-001333,BEN-0118,Scholarship,2026-02,2026-03-15,14793,mobile_money,001-483-724-8262,PAY-003
DISB-001578,AUTH-001658,BEN-0144,Scholarship,2026-06,2026-06-22,14902,bank,556-908-3318x1958,PAY-004
DISB-001564,AUTH-001643,BEN-0143,Scholarship,2025-01,2025-01-25,14740,mobile_money,(225)982-7390x21962,PAY-001
DISB-001225,AUTH-001290,BEN-0114,Scholarship,2025-01,2025-01-29,15125,bank,516-586-2278x376,PAY-003
DISB-001959,AUTH-002055,BEN-0179,Tech,2025-03,2025-03-21,9161,bank,322-843-8649x0810,PAY-003
DISB-000909,AUTH-000965,BEN-0084,Scholarship,2025-09,2025-10-10,14937,mobile_money,891-647-6607x2832,PAY-003
DISB-000619,AUTH-000660,BEN-0059,Vocational,2026-06,2026-03-24,9217,bank,249.854.5089x2038,PAY-003
DISB-002117,AUTH-002222,BEN-0195,Scholarship,2026-04,,15097,bank,+1-270-902-6876x811,PAY-002
DISB-000866,AUTH-000915,BEN-0079,Plus,2025-02,2025-02-23,7942,bank,880.557.1983,PAY-001
DISB-001112,AUTH-001174,BEN-0102,Plus,2025-04,2026-04-06,6457,mobile_money,249.854.5089x2038,PAY-001
DISB-001635,AUTH-001715,BEN-0149,Vocational,2025-04,2025-05-15,10130,bank,001-408-350-1657x9055,PAY-003
DISB-000665,AUTH-000713,BEN-0063,Tech,2025-07,2025-07-29,12229,bank,202.946.2996x0653,PAY-002
DISB-001048,AUTH-001110,BEN-0096,Plus,2025-02,2025-03-16,8069,mobile_money,248.994.7697x35779,PAY-002
DISB-001658,AUTH-001739,BEN-0151,Vocational,2026-06,2026-03-22,9913,mobile_money,249.854.5089x2038,PAY-003
DISB-002128,AUTH-002234,BEN-0196,Vocational,2026-04,2026-05-18,10037,mobile_money,+1-543-837-5047x930,PAY-003
DISB-001801,AUTH-001888,BEN-0164,Scholarship,2025-10,2025-11-07,15050,bank,941-852-0850,PAY-001
DISB-001014,AUTH-001076,BEN-0094,Plus,2025-09,2025-09-17,7864,mobile_money,+1-702-360-1279x61143,PAY-001
DISB-000172,AUTH-000179,BEN-0015,Vocational,2025-07,2025-08-10,10111,mobile_money,414-438-4249x8182,PAY-002
DISB-001057,AUTH-001119,BEN-0097,Scholarship,2026-05,2026-05-15,14920,mobile_money,723-473-3343x333,PAY-001
DISB-000541,AUTH-000579,BEN-0051,Vocational,2025-02,2025-02-11,10157,bank,001-332-506-0385x05064,PAY-002
DISB-001955,AUTH-002050,BEN-0179,Tech,2026-02,2026-02-12,12121,mobile_money,322-843-8649x0810,PAY-002
DISB-001391,AUTH-001466,BEN-0129,Tech,2025-05,2025-05-22,11852,mobile_money,817.447.7332x945,PAY-004
DISB-002131,AUTH-002237,BEN-0197,Plus,2025-02,2025-03-21,7907,mobile_money,+1-894-887-0605,PAY-003
DISB-001805,AUTH-001892,BEN-0165,Tech,2026-05,2026-05-18,8882,bank,583-344-0496,PAY-001
DISB-000030,AUTH-000031,BEN-0003,Tech,2025-09,2025-10-07,11854,mobile_money,581-388-3552,PAY-001
DISB-001875,AUTH-001970,BEN-0172,Plus,2025-11,2025-11-25,7862,mobile_money,529-254-3165x266,PAY-001
DISB-001980,AUTH-002080,BEN-0182,Plus,2025-12,2026-01-06,8095,mobile_money,+1-284-207-6789x973,PAY-004
DISB-001919,AUTH-002014,BEN-0176,Scholarship,2025-02,2025-03-11,10853,bank,(487)477-1215x134,PAY-001
DISB-000876,AUTH-000927,BEN-0081,Plus,2025-11,2025-12-13,8146,bank,(381)782-6886,PAY-001
DISB-000132,AUTH-000134,BEN-0011,Plus,2026-03,2026-04-15,6347,mobile_money,615-366-7652x775,PAY-003
DISB-000493,AUTH-000529,BEN-0048,Tech,2026-06,2026-06-27,12077,bank,(761)888-9241x41832,PAY-003
DISB-001141,AUTH-001205,BEN-0105,Scholarship,2025-06,2025-06-15,14854,mobile_money,217-497-4973x5020,PAY-003
DISB-000162,AUTH-000169,BEN-0014,Scholarship,2025-11,2026-03-02,15053,bank,249.854.5089x2038,PAY-004
DISB-002018,AUTH-002122,BEN-0185,Tech,2026-02,2026-03-11,10333,mobile_money,249.854.5089x2038,PAY-001
DISB-001521,AUTH-001600,BEN-0139,Vocational,2025-05,2025-05-28,9904,mobile_money,001-654-421-4066x504,PAY-003
DISB-000976,AUTH-001035,BEN-0091,Tech,2026-01,2026-01-25,11779,mobile_money,001-329-584-2579,PAY-001
DISB-000448,AUTH-000475,BEN-0043,Scholarship,2025-05,2025-06-11,11389,bank,709.658.4982,PAY-004
DISB-000992,AUTH-001051,BEN-0092,Scholarship,2025-02,2025-03-24,15033,bank,+1-368-865-0863x7659,PAY-003
DISB-000181,AUTH-000188,BEN-0016,Vocational,2025-09,2025-09-28,10111,bank,+1-464-771-0276x77359,PAY-001
DISB-001434,AUTH-001511,BEN-0132,Scholarship,2025-06,2025-06-15,14735,bank,8365965666,PAY-004
DISB-001752,AUTH-001836,BEN-0159,Plus,2026-03,2026-03-19,8061,mobile_money,293.389.1190x83342,PAY-001
DISB-000672,AUTH-000720,BEN-0063,Tech,2025-01,2025-02-09,11952,bank,202.946.2996x0653,PAY-002
DISB-000595,AUTH-000633,BEN-0056,Plus,2025-09,2025-09-12,7992,bank,7397652239,PAY-003
DISB-001485,AUTH-001564,BEN-0136,Vocational,2025-02,2025-03-12,10166,mobile_money,(880)851-2927,PAY-002
DISB-001854,AUTH-001949,BEN-0170,Plus,2026-02,2026-02-24,7858,mobile_money,760.864.4134x327,PAY-002
DISB-000037,AUTH-000038,BEN-0004,Plus,2025-01,2025-01-22,7960,mobile_money,001-205-781-4770,PAY-001
DISB-001032,AUTH-001094,BEN-0095,Tech,2026-06,2026-06-20,12141,bank,692.805.3021,PAY-003
DISB-000175,AUTH-000182,BEN-0015,Vocational,2025-09,2025-09-29,10042,bank,414-438-4249x8182,PAY-004
DISB-001028,AUTH-001090,BEN-0095,Tech,2026-02,,11817,mobile_money,692.805.3021,PAY-003
DISB-002066,AUTH-002170,BEN-0190,Plus,2025-05,2025-05-30,7447,mobile_money,001-449-975-6792,PAY-001
DISB-000489,AUTH-000524,BEN-0048,Tech,2026-05,2026-05-19,12147,mobile_money,(761)888-9241x41832,PAY-003
DISB-000138,AUTH-000143,BEN-0011,Plus,2025-03,2025-03-26,7934,mobile_money,615-366-7652x775,PAY-001
DISB-000942,AUTH-001000,BEN-0088,Scholarship,2025-03,14/04/2025,15085,mobile_money,(929)592-7503,PAY-002
DISB-000130,AUTH-000131,BEN-0011,Plus,2025-12,2025-12-31,7851,bank,615-366-7652x775,PAY-003
DISB-000862,AUTH-000911,BEN-0079,Plus,2026-01,2026-01-22,7934,mobile_money,880.557.1983,PAY-003
DISB-001306,AUTH-001378,BEN-0122,Vocational,2025-04,2025-04-26,10120,mobile_money,209.940.7778,PAY-004
DISB-002010,AUTH-002113,BEN-0184,Tech,2025-02,2025-02-22,12158,bank,001-308-242-8910x77119,PAY-002
DISB-000218,AUTH-000228,BEN-0019,Plus,2025-03,2025-03-31,8063,bank,(551)269-4097x499,PAY-002
DISB-001384,AUTH-001459,BEN-0128,Tech,2025-12,2025-12-22,12106,mobile_money,585.485.4249,PAY-003
DISB-000583,AUTH-000621,BEN-0056,Plus,2025-06,2025-07-04,8157,mobile_money,7397652239,PAY-003
DISB-001438,AUTH-001515,BEN-0132,Scholarship,2026-05,,15210,mobile_money,8365965666,PAY-002
DISB-001417,AUTH-001493,BEN-0131,Tech,2025-05,2025-06-12,12082,bank,296-457-0132,PAY-001
DISB-001925,AUTH-002020,BEN-0176,Scholarship,2025-08,2025-08-26,11174,bank,(487)477-1215x134,PAY-001
DISB-001486,AUTH-001565,BEN-0136,Vocational,2026-04,2026-05-12,10079,mobile_money,(880)851-2927,PAY-003
DISB-001051,AUTH-001113,BEN-0097,Scholarship,2025-11,2025-12-06,14918,bank,723-473-3343x333,PAY-003
DISB-000378,AUTH-000399,BEN-0036,Plus,2026-05,2026-05-27,8011,bank,(592)745-9375x26547,PAY-002
DISB-001619,AUTH-001699,BEN-0148,Plus,2025-05,2025-05-21,7906,mobile_money,907-942-7990,PAY-001
DISB-001304,AUTH-001376,BEN-0122,Vocational,2025-05,2025-05-21,9992,bank,209.940.7778,PAY-002
DISB-002087,AUTH-002191,BEN-0192,Plus,2025-04,2025-05-02," KES 7,845 ",mobile_money,222-241-2462x0952,PAY-002
DISB-000150,AUTH-000155,BEN-0013,Tech,2025-07,2025-08-04,9289,mobile_money,712.317.2715,PAY-003
DISB-002086,AUTH-002190,BEN-0192,Plus,2026-03,2026-03-19,8140,mobile_money,222-241-2462x0952,PAY-004
DISB-001077,AUTH-001139,BEN-0099,Scholarship,2025-07,2025-07-14,14976,bank,872-592-9314x386,PAY-003
DISB-001013,AUTH-001075,BEN-0094,Plus,2026-03,2026-03-24,8459,mobile_money,+1-702-360-1279x61143,PAY-003
DISB-001731,AUTH-001813,BEN-0157,Plus,2025-08,2025-08-15,8016,bank,(383)838-9888,PAY-001
DISB-001891,AUTH-001986,BEN-0174,Plus,2025-12,2025-12-10,8089,bank,+1-736-269-4118x00537,PAY-002
DISB-001198,AUTH-001262,BEN-0112,Scholarship,2025-06,2025-07-01,14708,mobile_money,2489889921,PAY-003
DISB-001273,AUTH-001341,BEN-0119,Scholarship,2025-12,2025-12-21,14790,bank,(417)428-9752x677,PAY-004
DISB-001098,AUTH-001160,BEN-0101,Scholarship,2025-07,2025-07-24,14825,bank,+1-824-655-8771,PAY-004
DISB-000020,AUTH-000021,BEN-0002,Scholarship,2025-10,2025-10-15,14947,bank,988.351.6060,PAY-004
DISB-000420,AUTH-000442,BEN-0040,Scholarship,2025-07,2026-03-17,15136,bank,249.854.5089x2038,PAY-001
DISB-001058,AUTH-001120,BEN-0097,Scholarship,2026-01,,15237,mobile_money,723-473-3343x333,PAY-004
DISB-001666,AUTH-001748,BEN-0152,Vocational,2025-01,2025-01-30,9886,mobile_money,722-422-3105x9274,PAY-002
DISB-000856,AUTH-000905,BEN-0078,Plus,2025-11,2025-11-24,7941,bank,001-783-333-9452x288,PAY-003
DISB-001207,AUTH-001271,BEN-0112,Scholarship,2025-12,2026-01-11,14771,mobile_money,2489889921,PAY-001
DISB-000098,AUTH-000099,BEN-0008,Plus,2025-11,2025-11-29,7885,mobile_money,826.313.7506x06853,PAY-004
DISB-000161,AUTH-000168,BEN-0014,Scholarship,2026-01,2026-04-05,13525,mobile_money,249.854.5089x2038,PAY-001
DISB-000347,AUTH-000365,BEN-0032,Vocational,2025-11,19/11/2025,10087,mobile_money,001-234-410-1666x870,PAY-002
DISB-000917,AUTH-000974,BEN-0085,Scholarship,2026-03,2026-03-11,15260,mobile_money,(939)343-1290,PAY-003
DISB-001208,AUTH-001272,BEN-0113,Scholarship,2025-10,2025-10-25,14867,mobile_money,(610)255-6613x9060,PAY-001
DISB-001820,AUTH-001910,BEN-0166,Plus,2025-11,2025-11-15,5597,mobile_money,001-273-574-8969,PAY-003
DISB-000392,AUTH-000413,BEN-0037,Plus,2025-03,2025-04-08,9712,bank,842.866.1797,PAY-002
DISB-001509,AUTH-001588,BEN-0138,Scholarship,2026-02,2026-03-08,15295,bank,553.344.3009x109,PAY-004
DISB-001953,AUTH-002048,BEN-0179,Tech,2025-11,2025-11-30,9727,mobile_money,322-843-8649x0810,PAY-003
DISB-001459,AUTH-001536,BEN-0134,Scholarship,2026-02,2026-03-13,14935,mobile_money,001-247-781-8913x71894,PAY-003
DISB-000227,AUTH-000237,BEN-0020,Plus,2025-04,2025-04-19,7981,bank,638.957.8652x78585,PAY-001
DISB-001511,AUTH-001590,BEN-0138,Scholarship,2025-08,2025-08-24," KES 18,727 ",bank,553.344.3009x109,PAY-001
DISB-001531,AUTH-001610,BEN-0140,Plus,2025-04,2025-04-30,7966,bank,(542)256-9087x7661,PAY-003
DISB-000784,AUTH-000832,BEN-0073,Scholarship,2025-11,2025-12-04,14901,mobile_money,3027255794,PAY-002
DISB-000277,AUTH-000289,BEN-0025,Plus,2025-04,2025-05-06,8052,mobile_money,971.239.7187x07286,PAY-004
DISB-001867,AUTH-001962,BEN-0171,Plus,2025-08,2025-08-09,7840,bank,(406)534-5911,PAY-001
DISB-001034,AUTH-001096,BEN-0095,Tech,2025-09,2025-09-20,10433,bank,692.805.3021,PAY-003
