disbursement_id,authorization_id,beneficiary_id,pillar_id,period,date,amount_paid,channel,disbursing_account,processed_by
DISB-001949,AUTH-002044,BEN-0184,Tech,2025-02,,12101,mobile_money,001-308-242-8910x77119,PAY-001
DISB-001163,AUTH-001226,BEN-0107,Plus,2025-09,2025-10-12,8091,mobile_money,792.451.3271x9500,PAY-003
DISB-000798,AUTH-000838,BEN-0074,Scholarship,2025-11,2025-11-20,15261,mobile_money,+1-202-577-1670x145,PAY-003
DISB-001569,AUTH-001645,BEN-0147,Vocational,2025-09,2025-09-12,10063,mobile_money,4632356939,PAY-004
DISB-001896,AUTH-001987,BEN-0179,Tech,2025-12,2026-01-04,12145,bank,322-843-8649x0810,PAY-002
DISB-000797,AUTH-000837,BEN-0074,Scholarship,2025-08,2025-09-04,15125,bank,+1-202-577-1670x145,PAY-004
DISB-001027,AUTH-001086,BEN-0096,Plus,2026-05,2026-05-14,8062,mobile_money,248.994.7697x35779,PAY-004
DISB-001691,AUTH-001768,BEN-0157,Plus,2026-05,03/06/2026,8116,bank,(383)838-9888,PAY-002
DISB-001188,AUTH-001254,BEN-0110,Vocational,2025-04,2025-05-08,10132,bank,001-365-309-4801x4138,PAY-004
DISB-001463,AUTH-001537,BEN-0136,Vocational,2025-02,2025-02-20,10165,bank,(880)851-2927,PAY-002
DISB-001220,AUTH-001287,BEN-0113,Scholarship,2025-04,2025-04-30,14832,mobile_money,(610)255-6613x9060,PAY-001
DISB-000620,AUTH-000653,BEN-0057,Tech,2026-04,2026-04-24,11852,bank,325-700-2921x85156,PAY-001
DISB-000509,AUTH-000540,BEN-0046,Tech,2025-11,2025-11-20,12176,bank,001-922-518-9092x75326,PAY-001
DISB-001128,AUTH-001190,BEN-0105,Scholarship,2025-03,," KES 15,113 ",mobile_money,217-497-4973x5020,PAY-004
DISB-000558,AUTH-000589,BEN-0051,Vocational,2025-09,2025-10-08,9955,bank,001-332-506-0385x05064,PAY-002
DISB-000504,AUTH-000534,BEN-0045,Scholarship,2025-01,2026-04-14,13494,bank,249.854.5089x2038,PAY-002
DISB-000800,AUTH-000840,BEN-0074,Scholarship,2025-07,2025-08-04,14960,bank,+1-202-577-1670x145,PAY-003
DISB-001042,AUTH-001101,BEN-0097,Scholarship,2025-06,2025-06-23,14778,mobile_money,723-473-3343x333,PAY-004
DISB-001872,AUTH-001961,BEN-0176,Scholarship,2026-01,2026-01-15,15253,mobile_money,(487)477-1215x134,PAY-001
DISB-001558,AUTH-001634,BEN-0145,Vocational,2025-07,2025-08-12,10030,mobile_money,(707)881-1379,PAY-002
DISB-000713,AUTH-000752,BEN-0067,Scholarship,2025-07,2025-08-04,15119,bank,6994353875,PAY-004
DISB-002059,AUTH-002156,BEN-0193,Tech,2026-04,2026-04-24,12116,mobile_money,4636048913,PAY-004
DISB-002068,AUTH-002165,BEN-0193,Tech,2025-08,2025-08-26,11785,mobile_money,4636048913,PAY-001
DISB-000072,AUTH-000072,BEN-0007,Vocational,2025-09,,9881,bank,+1-937-994-7383x47359,PAY-004
DISB-001438,AUTH-001512,BEN-0133,Scholarship,2026-02,13/03/2026,12195,mobile_money,(867)996-9278,PAY-003
DISB-001537,AUTH-001611,BEN-0143,Scholarship,2026-04,2026-04-23,14839,mobile_money,(225)982-7390x21962,PAY-001
DISB-000474,AUTH-000503,BEN-0042,Vocational,2026-06,2026-06-16,9873,mobile_money,591-848-5807,PAY-002
DISB-000296,AUTH-000317,BEN-0027,Plus,2026-01,2026-01-22,8130,bank,6675383028,PAY-004
DISB-000170,AUTH-000178,BEN-0016,Vocational,2025-02,,9938,bank,+1-464-771-0276x77359,PAY-002
DISB-000535,AUTH-000566,BEN-0048,Tech,2025-10,2025-10-21,12176,bank,(761)888-9241x41832,PAY-001
DISB-000374,AUTH-000397,BEN-0033,Plus,2025-02,2025-03-20,5758,bank,842-493-9685,PAY-003
DISB-001553,AUTH-001628,BEN-0145,Vocational,2025-08,2025-08-23,10133,mobile_money,(707)881-1379,PAY-004
DISB-000185,AUTH-000193,BEN-0017,Scholarship,2025-11,2025-12-01,15200,bank,774.270.1687x339,PAY-002
DISB-001804,AUTH-001891,BEN-0170,Plus,2025-03,2025-03-27,7961,bank,760.864.4134x327,PAY-004
DISB-001912,AUTH-002003,BEN-0180,Scholarship,2025-01,2025-01-30,14914,mobile_money,294.252.3219x416,PAY-002
DISB-001794,AUTH-001880,BEN-0169,Vocational,2025-11,2025-12-04,10129,mobile_money,+1-451-758-6734,PAY-001
DISB-000700,AUTH-000739,BEN-0066,Vocational,2025-09,2025-09-15,10048,mobile_money,743.674.8969x108,PAY-001
DISB-002136,AUTH-002233,BEN-0199,Tech,2026-05,2026-06-06,11800,mobile_money,+1-908-804-6619x63990,PAY-003
DISB-001143,AUTH-001205,BEN-0106,Scholarship,2025-03,2025-03-14,14981,bank,(901)836-7303x7183,PAY-001
DISB-002019,AUTH-002116,BEN-0190,Plus,2025-10,2025-10-26,7933,mobile_money,001-449-975-6792,PAY-002
DISB-000993,AUTH-001050,BEN-0092,Scholarship,2025-09,2025-10-15,10823,mobile_money,+1-368-865-0863x7659,PAY-002
DISB-000267,AUTH-000287,BEN-0025,Plus,2025-07,2025-07-27,8095,bank,971.239.7187x07286,PAY-001
DISB-001874,AUTH-001964,BEN-0176,Scholarship,2025-05,2025-05-10,15109,bank,(487)477-1215x134,PAY-003
DISB-000415,AUTH-000441,BEN-0038,Plus,2025-10,2025-11-09,8052,bank,501-943-8889,PAY-003
DISB-001222,AUTH-001289,BEN-0114,Scholarship,2026-06,2026-06-14,15141,mobile_money,516-586-2278x376,PAY-003
DISB-000182,AUTH-000190,BEN-0017,Scholarship,2025-06,2025-06-27,15142,bank,774.270.1687x339,PAY-004
DISB-000556,AUTH-000587,BEN-0051,Vocational,2025-01,2025-02-12,10096,mobile_money,001-332-506-0385x05064,PAY-003
DISB-000997,AUTH-001056,BEN-0093,Tech,2025-02,2026-03-31,10303,mobile_money,249.854.5089x2038,PAY-001
DISB-000147,AUTH-000152,BEN-0013,Tech,2025-09,2025-09-27,12031,mobile_money,712.317.2715,PAY-004
DISB-001104,AUTH-001165,BEN-0103,Plus,2025-09,2025-10-05,8020,mobile_money,672-928-2005x5778,PAY-003
DISB-001626,AUTH-001703,BEN-0151,Vocational,2025-06,2026-04-10,12202,bank,249.854.5089x2038,PAY-002
DISB-000321,AUTH-000343,BEN-0030,Scholarship,2025-05,2025-05-13,15007,bank,(504)789-9642,PAY-004
DISB-001681,AUTH-001758,BEN-0157,Plus,2025-05,2025-06-15,8001,mobile_money,(383)838-9888,PAY-003
DISB-001785,AUTH-001871,BEN-0168,Scholarship,2025-08,,12433,mobile_money,249.854.5089x2038,PAY-004
DISB-001201,AUTH-001267,BEN-0112,Scholarship,2025-06,2025-06-29,15094,bank,2489889921,PAY-004
DISB-000549,AUTH-000580,BEN-0050,Scholarship,2026-03,2026-04-17,14991,mobile_money,265.441.9518,PAY-003
DISB-000950,AUTH-001005,BEN-0088,Scholarship,2025-04,2025-04-22,14811,bank,(929)592-7503,PAY-002
DISB-000598,AUTH-000631,BEN-0054,Vocational,2025-02,2025-03-11,10085,mobile_money,9132721510,PAY-001
DISB-001216,AUTH-001283,BEN-0113,Scholarship,2025-02,2025-02-12,15064,bank,(610)255-6613x9060,PAY-001
DISB-001779,AUTH-001864,BEN-0168,Scholarship,2025-02,,14929,mobile_money,249.854.5089x2038,PAY-001
DISB-000013,AUTH-000013,BEN-0002,Scholarship,2026-01,15/01/2026,14775,bank,988.351.6060,PAY-002
DISB-000189,AUTH-000197,BEN-0018,Tech,2025-10,2025-10-28,11847,mobile_money,478.549.9121x65585,PAY-001
DISB-000197,AUTH-000206,BEN-0018,Tech,2025-07,2025-07-31,12105,bank,478.549.9121x65585,PAY-002
DISB-000617,AUTH-000650,BEN-0057,Tech,2026-05,2026-05-21,11844,mobile_money,325-700-2921x85156,PAY-002
DISB-001962,AUTH-002058,BEN-0185,Tech,2025-07,2026-04-09,9398,bank,249.854.5089x2038,PAY-004
DISB-001688,AUTH-001765,BEN-0157,Plus,2025-07,27/07/2025,7933,mobile_money,(383)838-9888,PAY-002
DISB-000852,AUTH-000892,BEN-0078,Plus,2025-05,2025-05-24,7910,mobile_money,001-783-333-9452x288,PAY-002
DISB-000699,AUTH-000738,BEN-0066,Vocational,2026-04,2026-04-30,9834,mobile_money,743.674.8969x108,PAY-003
DISB-001185,AUTH-001251,BEN-0110,Vocational,2026-02,2026-02-21,10197,bank,001-365-309-4801x4138,PAY-001
DISB-001068,AUTH-001127,BEN-0099,Scholarship,2025-04,2025-05-03,15012,mobile_money,872-592-9314x386,PAY-004
DISB-000634,AUTH-000668,BEN-0059,Vocational,2026-06,2026-03-12,12069,mobile_money,249.854.5089x2038,PAY-002
DISB-002013,AUTH-002110,BEN-0190,Plus,2026-04,2026-05-14,8150,mobile_money,001-449-975-6792,PAY-003
DISB-000467,AUTH-000496,BEN-0042,Vocational,2025-11,2025-12-18,10166,mobile_money,591-848-5807,PAY-003
DISB-001646,AUTH-001723,BEN-0153,Vocational,2026-06,2026-06-19,10187,bank,317-702-8140x69375,PAY-003
DISB-000276,AUTH-000296,BEN-0025,Plus,2025-01,2025-02-14,8138,bank,971.239.7187x07286,PAY-004
DISB-000483,AUTH-000512,BEN-0043,Scholarship,2025-10,2025-11-01,11398,mobile_money,709.658.4982,PAY-003
DISB-001808,AUTH-001895,BEN-0170,Plus,2025-10,2025-11-15,7200,bank,760.864.4134x327,PAY-002
DISB-001172,AUTH-001235,BEN-0109,Tech,2025-09,2025-10-07,9083,mobile_money,(394)256-5118,PAY-004
DISB-001669,AUTH-001746,BEN-0156,Scholarship,2026-01,2026-01-25,14922,bank,372-552-0456x50448,PAY-002
DISB-000020,AUTH-000020,BEN-0002,Scholarship,2025-12,2026-01-01,15150,bank,988.351.6060,PAY-002
DISB-000640,AUTH-000674,BEN-0060,Plus,2025-06,2025-06-25,7900,bank,001-687-920-5061,PAY-002
DISB-000516,AUTH-000547,BEN-0046,Tech,2026-03,2026-04-09,12068,mobile_money,001-922-518-9092x75326,PAY-003
DISB-001568,AUTH-001644,BEN-0146,Scholarship,2025-08,2025-09-09,15121,bank,(652)473-5435x2090,PAY-002
DISB-000021,AUTH-000021,BEN-0002,Scholarship,2026-02,2026-02-27,15008,bank,988.351.6060,PAY-002
DISB-002011,AUTH-002108,BEN-0189,Tech,2025-06,2025-07-07,11962,bank,372.888.1377x0285,PAY-001
DISB-001039,AUTH-001098,BEN-0097,Scholarship,2025-09,2025-09-30,14840,bank,723-473-3343x333,PAY-003
DISB-001154,AUTH-001216,BEN-0106,Scholarship,2026-04,2026-05-01,15089,mobile_money,(901)836-7303x7183,PAY-001
DISB-002109,AUTH-002206,BEN-0196,Vocational,2026-05,2026-06-08,9861,mobile_money,+1-543-837-5047x930,PAY-003
DISB-001214,AUTH-001281,BEN-0112,Scholarship,2026-05,2026-05-31,14796,mobile_money,2489889921,PAY-004
DISB-001618,AUTH-001694,BEN-0150,Vocational,2025-09,2025-10-18,9913,bank,988.317.8847x9513,PAY-003
DISB-001565,AUTH-001641,BEN-0146,Scholarship,2026-05,2026-05-21,15075,mobile_money,(652)473-5435x2090,PAY-003
DISB-001370,AUTH-001444,BEN-0127,Vocational,2025-12,2026-01-01,9998,mobile_money,923.207.6810x40915,PAY-001
DISB-001072,AUTH-001131,BEN-0099,Scholarship,2026-05,2026-05-19,15256,bank,872-592-9314x386,PAY-003
DISB-002003,AUTH-002100,BEN-0188,Scholarship,2025-12,2026-01-16," KES 14,780 ",bank,001-526-783-1589,PAY-001
DISB-001348,AUTH-001419,BEN-0125,Vocational,2026-03,2026-03-10,9821,mobile_money,249.854.5089x2038,PAY-002
DISB-001002,AUTH-001061,BEN-0094,Plus,2026-02,2026-03-14,8010,bank,+1-702-360-1279x61143,PAY-001
DISB-001080,AUTH-001140,BEN-0100,Plus,2025-04,16/04/2025,7940,mobile_money,620-734-7175,PAY-002
DISB-000908,AUTH-000959,BEN-0084,Scholarship,2026-06,2026-06-17,14728,bank,891-647-6607x2832,PAY-004
DISB-000824,AUTH-000864,BEN-0076,Vocational,2026-06,2026-07-09,10165,bank,758.799.7571x130,PAY-001
DISB-000533,AUTH-000564,BEN-0048,Tech,2025-12,2025-12-21,10326,bank,(761)888-9241x41832,PAY-004
DISB-001611,AUTH-001687,BEN-0150,Vocational,2025-10,2025-11-05,10014,bank,988.317.8847x9513,PAY-004
DISB-001683,AUTH-001760,BEN-0157,Plus,2025-12,2026-01-12,8013,bank,(383)838-9888,PAY-004
DISB-000485,AUTH-000514,BEN-0043,Scholarship,2025-04,2025-04-12," KES 15,066 ",bank,709.658.4982,PAY-002
DISB-000497,AUTH-000527,BEN-0044,Scholarship,2026-04,2026-05-01,14999,mobile_money,+1-716-384-5775x9017,PAY-002
DISB-000085,AUTH-000085,BEN-0008,Plus,2025-01,2025-01-20,7882,bank,826.313.7506x06853,PAY-001
DISB-000837,AUTH-000877,BEN-0077,Scholarship,2026-04,2026-04-14,14855,mobile_money,498.427.0808x697,PAY-003
DISB-001980,AUTH-002077,BEN-0186,Vocational,2025-10,2025-11-21,9870,bank,+1-884-966-8455x04892,PAY-004
DISB-001310,AUTH-001381,BEN-0122,Vocational,2025-12,2025-12-26,10162,bank,209.940.7778,PAY-003
DISB-001621,AUTH-001697,BEN-0151,Vocational,2025-01,2026-03-19,11523,mobile_money,249.854.5089x2038,PAY-001
DISB-001337,AUTH-001408,BEN-0124,Scholarship,2026-01,2026-01-16,15154,mobile_money,001-995-429-9787,PAY-001
DISB-000758,AUTH-000798,BEN-0070,Scholarship,2025-09,2025-09-23,11087,mobile_money,001-742-810-4478,PAY-001
DISB-001247,AUTH-001316,BEN-0116,Plus,2025-10,25/10/2025,7973,mobile_money,+1-301-764-5104x6368,PAY-003
DISB-000539,AUTH-000570,BEN-0049,Scholarship,2025-02,2025-03-04,15080,bank,001-710-256-4814x9177,PAY-002
DISB-000024,AUTH-000024,BEN-0003,Tech,2025-02,2025-02-15,12171,bank,581-388-3552,PAY-003
DISB-001458,AUTH-001532,BEN-0135,Vocational,2025-08,2025-08-26,9939,mobile_money,+1-249-640-7929x049,PAY-001
DISB-001934,AUTH-002028,BEN-0182,Plus,2025-03,2025-03-21,8137,mobile_money,+1-284-207-6789x973,PAY-004
DISB-001328,AUTH-001399,BEN-0123,Tech,2026-06,2026-06-23,11780,mobile_money,(622)749-9982x79501,PAY-001
DISB-000942,AUTH-000997,BEN-0087,Plus,2026-01,2026-04-12,7913,mobile_money,249.854.5089x2038,PAY-004
DISB-000768,AUTH-000808,BEN-0071,Plus,2025-10,2025-11-11,7872,mobile_money,+1-609-901-0016x761,PAY-002
DISB-001265,AUTH-001334,BEN-0117,Vocational,2025-11,2025-12-13,9899,bank,584.404.6084,PAY-002
DISB-000106,AUTH-000106,BEN-0009,Plus,2026-03,2026-03-31,8043,mobile_money,203-569-7117,PAY-003
DISB-001347,AUTH-001418,BEN-0124,Scholarship,2026-02,2026-03-12,15121,bank,001-995-429-9787,PAY-003
DISB-000649,AUTH-000683,BEN-0060,Plus,2025-12,2026-01-16,7924,bank,001-687-920-5061,PAY-001
DISB-001742,AUTH-001821,BEN-0163,Scholarship,2026-04,2026-04-22,11358,bank,(447)796-9545x0090,PAY-003
DISB-001944,AUTH-002038,BEN-0183,Scholarship,2025-06,2026-03-25,14761,mobile_money,249.854.5089x2038,PAY-003
DISB-001367,AUTH-001441,BEN-0127,Vocational,2025-06,2025-06-18,10004,mobile_money,923.207.6810x40915,PAY-001
DISB-000515,AUTH-000546,BEN-0046,Tech,2025-06,2025-07-13,10729,mobile_money,001-922-518-9092x75326,PAY-004
DISB-000749,AUTH-000789,BEN-0070,Scholarship,2026-01,2026-01-20,13954,mobile_money,001-742-810-4478,PAY-001
DISB-000760,AUTH-000800,BEN-0071,Plus,2026-03,2026-03-17,8041,mobile_money,+1-609-901-0016x761,PAY-003
DISB-001937,AUTH-002031,BEN-0182,Plus,2025-09,2025-09-18,8099,bank,+1-284-207-6789x973,PAY-004
DISB-001986,AUTH-002083,BEN-0187,Tech,2025-01,2025-02-05,11811,bank,688-548-5200,PAY-002
DISB-001251,AUTH-001320,BEN-0116,Plus,2026-02,2026-02-21,7907,mobile_money,+1-301-764-5104x6368,PAY-001
DISB-000943,AUTH-000998,BEN-0087,Plus,2025-02,2026-03-18," KES 8,005 ",mobile_money,249.854.5089x2038,PAY-004
DISB-001371,AUTH-001445,BEN-0128,Tech,2025-02,2025-02-28,11807,mobile_money,585.485.4249,PAY-002
DISB-000225,AUTH-000234,BEN-0021,Vocational,2025-10,2025-10-24,10015,bank,+1-547-533-8484x2199,PAY-001
DISB-000188,AUTH-000196,BEN-0017,Scholarship,2025-04,2025-04-09,15073,mobile_money,774.270.1687x339,PAY-004
DISB-000683,AUTH-000720,BEN-0064,Tech,2026-03,27/03/2026,9667,bank,001-278-450-8214x8628,PAY-002
DISB-001495,AUTH-001569,BEN-0139,Vocational,2025-04,2025-04-24,9989,mobile_money,001-654-421-4066x504,PAY-002
DISB-001738,AUTH-001817,BEN-0162,Scholarship,2025-04,2025-05-03,14724,bank,+1-287-273-4778x48588,PAY-002
DISB-000934,AUTH-000988,BEN-0086,Plus,2025-09,2025-10-06,8130,mobile_money,(756)920-5336x452,PAY-001
DISB-001374,AUTH-001448,BEN-0128,Tech,2026-04,16/05/2026,12195,mobile_money,585.485.4249,PAY-002
DISB-001236,AUTH-001305,BEN-0115,Plus,2026-01,2026-01-28,7946,bank,001-911-203-9240x5147,PAY-002
DISB-001737,AUTH-001816,BEN-0162,Scholarship,2025-12,2025-12-29," KES 15,191 ",bank,+1-287-273-4778x48588,PAY-003
DISB-000156,AUTH-000164,BEN-0015,Vocational,2025-06,2025-07-01,9905,bank,414-438-4249x8182,PAY-001
DISB-001037,AUTH-001096,BEN-0097,Scholarship,2025-01,2025-02-13,15037,bank,723-473-3343x333,PAY-003
DISB-001449,AUTH-001523,BEN-0134,Scholarship,2026-04,2026-04-19,14746,bank,001-247-781-8913x71894,PAY-002
DISB-001194,AUTH-001260,BEN-0111,Scholarship,2026-02,,14738,bank,555.885.5665x939,PAY-002
DISB-002114,AUTH-002211,BEN-0197,Plus,2026-02,2026-02-24,8009,mobile_money,+1-894-887-0605,PAY-002
DISB-001511,AUTH-001585,BEN-0141,Plus,2026-01,2026-02-13,8107,bank,257-517-3203,PAY-003
DISB-000874,AUTH-000915,BEN-0080,Vocational,2026-06,2026-04-10,9423,bank,249.854.5089x2038,PAY-002
DISB-000054,AUTH-000054,BEN-0005,Scholarship,2025-09,2025-10-17,15264,mobile_money,820.737.7889x25546,PAY-001
DISB-001909,AUTH-002000,BEN-0180,Scholarship,2026-03,2026-04-14,14787,mobile_money,294.252.3219x416,PAY-004
DISB-001224,AUTH-001292,BEN-0114,Scholarship,2025-04,,15088,mobile_money,516-586-2278x376,PAY-003
DISB-000789,AUTH-000829,BEN-0073,Scholarship,2025-04,2025-04-13,15256,mobile_money,3027255794,PAY-003
DISB-001350,AUTH-001421,BEN-0125,Vocational,2025-01,2026-04-14,9966,mobile_money,249.854.5089x2038,PAY-004
DISB-001426,AUTH-001500,BEN-0132,Scholarship,2025-12,2025-12-14,14701,mobile_money,8365965666,PAY-003
DISB-000446,AUTH-000473,BEN-0040,Scholarship,2025-09,2026-03-20,14782,bank,249.854.5089x2038,PAY-003
DISB-000693,AUTH-000732,BEN-0065,Plus,2025-02,2025-02-18," KES 7,875 ",mobile_money,540-560-2933,PAY-004
DISB-001330,AUTH-001401,BEN-0123,Tech,2025-11,2025-11-21,11885,mobile_money,(622)749-9982x79501,PAY-004
DISB-000492,AUTH-000522,BEN-0044,Scholarship,2025-04,2025-05-03,14896,mobile_money,+1-716-384-5775x9017,PAY-003
DISB-000135,AUTH-000139,BEN-0012,Plus,2025-03,2025-03-30,7870,mobile_money,001-220-429-7021x3556,PAY-003
DISB-002072,AUTH-002169,BEN-0194,Plus,2026-02,2026-03-08,8093,mobile_money,349.646.5398x4028,PAY-003
DISB-000098,AUTH-000098,BEN-0008,Plus,2025-09,2025-10-06,8091,bank,826.313.7506x06853,PAY-001
DISB-001661,AUTH-001738,BEN-0155,Vocational,2025-08,2025-09-04," KES 9,913 ",mobile_money,001-647-687-3002,PAY-004
DISB-000679,AUTH-000716,BEN-0064,Tech,2026-06,2026-06-18,14938,bank,001-278-450-8214x8628,PAY-003
DISB-000717,AUTH-000756,BEN-0067,Scholarship,2025-10,2025-11-11,15185,mobile_money,6994353875,PAY-002
DISB-000116,AUTH-000117,BEN-0010,Tech,2026-06,2026-06-24,9031,mobile_money,+1-319-952-0585x27722,PAY-002
DISB-001606,AUTH-001682,BEN-0150,Vocational,2025-07,2025-08-01,9876,bank,988.317.8847x9513,PAY-001
DISB-000384,AUTH-000410,BEN-0035,Plus,2026-05,12/06/2026,7141,bank,698.926.2244,PAY-003
DISB-000967,AUTH-001022,BEN-0089,Vocational,2026-03,2026-03-16,12580,mobile_money,(566)859-1846,PAY-004
DISB-000932,AUTH-000986,BEN-0086,Plus,2025-12,24/12/2025,8094,bank,(756)920-5336x452,PAY-002
DISB-001727,AUTH-001806,BEN-0161,Scholarship,2025-01,2025-01-25,15075,bank,(813)967-4994x6579,PAY-001
DISB-000670,AUTH-000706,BEN-0062,Tech,2025-06,2026-04-04,10037,mobile_money,249.854.5089x2038,PAY-003
DISB-001854,AUTH-001943,BEN-0174,Plus,2025-06,2025-06-27,7855,mobile_money,+1-736-269-4118x00537,PAY-002
DISB-000146,AUTH-000151,BEN-0013,Tech,2026-05,2026-05-24,12221,mobile_money,712.317.2715,PAY-002
DISB-000972,AUTH-001028,BEN-0090,Vocational,2025-10,2025-10-19,8713,bank,477.439.2603x0299,PAY-004
DISB-002037,AUTH-002134,BEN-0191,Vocational,2026-04,2026-05-06,9854,mobile_money,001-409-283-7801,PAY-001
DISB-000222,AUTH-000231,BEN-0021,Vocational,2026-05,2026-06-12,10058,mobile_money,+1-547-533-8484x2199,PAY-001
DISB-001871,AUTH-001960,BEN-0175,Vocational,2025-10,2025-10-25,9913,mobile_money,(774)856-4494,PAY-003
DISB-001026,AUTH-001085,BEN-0096,Plus,2025-08,2025-08-21,7950,bank,248.994.7697x35779,PAY-003
DISB-001424,AUTH-001498,BEN-0132,Scholarship,2025-10,2025-11-05,14044,mobile_money,8365965666,PAY-003
DISB-000325,AUTH-000347,BEN-0030,Scholarship,2025-04,2025-04-21,15281,mobile_money,(504)789-9642,PAY-001
DISB-000359,AUTH-000382,BEN-0032,Vocational,2025-10,2025-11-06,10103,bank,001-234-410-1666x870,PAY-004
DISB-000513,AUTH-000544,BEN-0046,Tech,2025-03,2025-03-14,11925,mobile_money,001-922-518-9092x75326,PAY-001
DISB-000653,AUTH-000687,BEN-0061,Scholarship,2025-12,2025-12-30,12995,bank,001-502-211-5869,PAY-004
DISB-001213,AUTH-001279,BEN-0112,Scholarship,2025-09,,14741,mobile_money,2489889921,PAY-002
DISB-000743,AUTH-000782,BEN-0069,Tech,2025-02,2025-02-23,12086,mobile_money,352.450.0743x2927,PAY-003
DISB-000836,AUTH-000876,BEN-0077,Scholarship,2025-11,2025-11-20,14927,bank,498.427.0808x697,PAY-003
DISB-001939,AUTH-002033,BEN-0182,Plus,2025-10,2025-10-16,8123,mobile_money,+1-284-207-6789x973,PAY-002
DISB-002076,AUTH-002173,BEN-0194,Plus,2025-06,2025-07-05,8012,bank,349.646.5398x4028,PAY-004
DISB-000517,AUTH-000548,BEN-0046,Tech,2025-05,2025-06-06,11970,mobile_money,001-922-518-9092x75326,PAY-003
DISB-000336,AUTH-000358,BEN-0031,Vocational,2025-05,2025-05-18,10166,bank,912.903.8750,PAY-001
DISB-001543,AUTH-001617,BEN-0144,Scholarship,2025-04,2025-04-14,16961,bank,556-908-3318x1958,PAY-001
DISB-001589,AUTH-001665,BEN-0149,Vocational,2025-05,2025-06-02,10097,bank,001-408-350-1657x9055,PAY-004
DISB-001115,AUTH-001177,BEN-0103,Plus,2025-12,2026-01-08,8118,bank,672-928-2005x5778,PAY-004
DISB-000048,AUTH-000048,BEN-0004,Plus,2025-09,2025-09-20,7981,bank,001-205-781-4770,PAY-004
DISB-000250,AUTH-000267,BEN-0023,Plus,2025-10,2025-10-13,7886,bank,449-932-9668x51612,PAY-003
DISB-000427,AUTH-000453,BEN-0039,Vocational,2025-12,2025-12-19,7901,mobile_money,801-905-1238x2825,PAY-004
DISB-001062,AUTH-001121,BEN-0099,Scholarship,2026-02,2026-03-02,15185,mobile_money,872-592-9314x386,PAY-004
DISB-000881,AUTH-000926,BEN-0081,Plus,2026-04,19/04/2026,8130,bank,(381)782-6886,PAY-004
DISB-000814,AUTH-000854,BEN-0075,Scholarship,2026-01,2026-01-30,12883,bank,986.363.1779,PAY-001
DISB-000739,AUTH-000778,BEN-0069,Tech,2025-09,2025-10-02," KES 11,923 ",mobile_money,352.450.0743x2927,PAY-002
DISB-000138,AUTH-000142,BEN-0012,Plus,2026-02,2026-03-21,7950,mobile_money,001-220-429-7021x3556,PAY-001
DISB-001641,AUTH-001718,BEN-0153,Vocational,2025-11,,9926,mobile_money,317-702-8140x69375,PAY-003
DISB-001736,AUTH-001815,BEN-0162,Scholarship,2025-01,2025-01-27," KES 15,008 ",bank,+1-287-273-4778x48588,PAY-003
DISB-000230,AUTH-000241,BEN-0021,Vocational,2025-02,2025-03-19,10148,bank,+1-547-533-8484x2199,PAY-004
DISB-000421,AUTH-000447,BEN-0038,Plus,2026-06,2026-06-19,7848,bank,501-943-8889,PAY-001
DISB-001644,AUTH-001721,BEN-0153,Vocational,2026-04,2026-04-19,10049,bank,317-702-8140x69375,PAY-001
